Tipo;CodigoSingular;NomeSingular;TipoSingular;RegistroANS;CodigoTipoRecebimento;DescricaoTipoRecebimento;NumeroDocumento;Descricao;ValorBruto;TaxaAdministrativa;Subtotal;IRRF;OutrosTributos;ValorLiquido
A receber;42;UNIODONTO SUDESTE MINEIRO COOPERATIVA DE SAUDE ODONTOLOGICA LTDA;Operadora;327441;3;Taxa de Manutenção;10164513;TAXA DE MANUTENCAO;2005,58;0;2005,58;0;0;2005,58
A receber;129;Uniodonto Pindamonhangaba;Operadora;331104;4;Fundo de Marketing;10164557;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;129;Uniodonto Pindamonhangaba;Operadora;331104;3;Taxa de Manutenção;10164654;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;3;Uniodonto Vale Taquari Rio Pardo;Operadora;353752;4;Fundo de Marketing;10164678;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;3;Uniodonto Vale Taquari Rio Pardo;Operadora;353752;3;Taxa de Manutenção;10164582;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;26;Uniodonto Sao Jose do Rio Preto;Operadora;303259;3;Taxa de Manutenção;10164501;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;26;Uniodonto Sao Jose do Rio Preto;Operadora;303259;4;Fundo de Marketing;10164599;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;65;Uniodonto Rio Claro;Operadora;349011;4;Fundo de Marketing;10164626;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;65;Uniodonto Rio Claro;Operadora;349011;3;Taxa de Manutenção;10164528;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;160;Uniodonto Passos;Operadora;419729;3;Taxa de Manutenção;10164569;TAXA DE MANUTENCAO;1203,35;0;1203,35;0;0;1203,35
A receber;160;Uniodonto Passos;Operadora;419729;4;Fundo de Marketing;10164664;FUNDO DE MARKETING;481,34;0;481,34;0;0;481,34
A receber;43;Uniodonto Limeira;Operadora;369462;4;Fundo de Marketing;10164612;FUNDO DE MARKETING;481,34;0;481,34;0;0;481,34
A receber;43;Uniodonto Limeira;Operadora;369462;3;Taxa de Manutenção;10164514;TAXA DE MANUTENCAO;1203,35;0;1203,35;0;0;1203,35
A receber;128;Uniodonto Taubate;Operadora;319350;4;Fundo de Marketing;10164556;FUNDO DE MARKETING;481,34;0;481,34;0;0;481,34
A receber;128;Uniodonto Taubate;Operadora;319350;3;Taxa de Manutenção;10164653;TAXA DE MANUTENCAO;1203,35;0;1203,35;0;0;1203,35
A receber;157;Uniodonto Rio Grande Litoral;Operadora;367966;4;Fundo de Marketing;10164663;FUNDO DE MARKETING;320,89;0;320,89;0;0;320,89
A receber;157;Uniodonto Rio Grande Litoral;Operadora;367966;3;Taxa de Manutenção;10164568;TAXA DE MANUTENCAO;802,23;0;802,23;0;0;802,23
A receber;18;UNIODONTO SUL MS;Operadora;313807;4;Fundo de Marketing;10164497;FUNDO DE MARKETING;320,89;0;320,89;0;0;320,89
A receber;18;UNIODONTO SUL MS;Operadora;313807;3;Taxa de Manutenção;10164595;TAXA DE MANUTENCAO;802,23;0;802,23;0;0;802,23
A receber;169;UNIODONTO DE RIO BRANCO - ACRE;Operadora;403997;4;Fundo de Marketing;10164670;FUNDO DE MARKETING;320,89;0;320,89;0;0;320,89
A receber;169;UNIODONTO DE RIO BRANCO - ACRE;Operadora;403997;3;Taxa de Manutenção;10164575;TAXA DE MANUTENCAO;802,23;0;802,23;0;0;802,23
A receber;90;Uniodonto Cacapava;Operadora;347302;3;Taxa de Manutenção;10164541;TAXA DE MANUTENCAO;802,23;0;802,23;0;0;802,23
A receber;90;Uniodonto Cacapava;Operadora;347302;4;Fundo de Marketing;10164639;FUNDO DE MARKETING;320,89;0;320,89;0;0;320,89
A receber;120;Uniodonto Taquaritinga;Operadora;350290;4;Fundo de Marketing;10164553;FUNDO DE MARKETING;224,62;0;224,62;0;0;224,62
A receber;120;Uniodonto Taquaritinga;Operadora;350290;3;Taxa de Manutenção;10164650;TAXA DE MANUTENCAO;561,56;0;561,56;0;0;561,56
A receber;64;Uniodonto Macae;Operadora;300195;4;Fundo de Marketing;10164527;FUNDO DE MARKETING;224,62;0;224,62;0;0;224,62
A receber;64;Uniodonto Macae;Operadora;300195;3;Taxa de Manutenção;10164625;TAXA DE MANUTENCAO;561,56;0;561,56;0;0;561,56
A receber;112;Uniodonto Serido;Operadora;343919;4;Fundo de Marketing;10164646;FUNDO DE MARKETING;224,62;0;224,62;0;0;224,62
A receber;112;Uniodonto Serido;Operadora;343919;3;Taxa de Manutenção;10164549;TAXA DE MANUTENCAO;561,56;0;561,56;0;0;561,56
A receber;52;Uniodonto Ponta Grossa;Operadora;315818;3;Taxa de Manutenção;10164520;TAXA DE MANUTENCAO;561,56;0;561,56;0;0;561,56
A receber;52;Uniodonto Ponta Grossa;Operadora;315818;4;Fundo de Marketing;10164618;FUNDO DE MARKETING;224,62;0;224,62;0;0;224,62
A receber;19;Uniodonto Salvador;Operadora;310107;4;Fundo de Marketing;10164596;FUNDO DE MARKETING;160,45;0;160,45;0;0;160,45
A receber;19;Uniodonto Salvador;Operadora;310107;3;Taxa de Manutenção;10164498;TAXA DE MANUTENCAO;401,12;0;401,12;0;0;401,12
A receber;162;Uniodonto Paulo Afonso;Operadora;402109;3;Taxa de Manutenção;10164571;TAXA DE MANUTENCAO;401,12;0;401,12;0;0;401,12
A receber;162;Uniodonto Paulo Afonso;Operadora;402109;4;Fundo de Marketing;10164666;FUNDO DE MARKETING;160,45;0;160,45;0;0;160,45
A receber;105;Uniodonto Monte Alto;Operadora;336238;4;Fundo de Marketing;10164548;FUNDO DE MARKETING;160,45;0;160,45;0;0;160,45
A receber;105;Uniodonto Monte Alto;Operadora;336238;3;Taxa de Manutenção;10164645;TAXA DE MANUTENCAO;401,12;0;401,12;0;0;401,12
A receber;54;Uniodonto Aracaju;Operadora;349283;4;Fundo de Marketing;10164521;FUNDO DE MARKETING;160,45;0;160,45;0;0;160,45
A receber;54;Uniodonto Aracaju;Operadora;349283;3;Taxa de Manutenção;10164619;TAXA DE MANUTENCAO;401,12;0;401,12;0;0;401,12
A receber;118;Uniodonto Roraima;Operadora;418242;3;Taxa de Manutenção;10164552;TAXA DE MANUTENCAO;401,12;0;401,12;0;0;401,12
A receber;118;Uniodonto Roraima;Operadora;418242;4;Fundo de Marketing;10164649;FUNDO DE MARKETING;160,45;0;160,45;0;0;160,45
A receber;151;Uniodonto Tres Rios;Operadora;359726;6;Outros;;"Item 10.7 - Multa moratória de 10%	";125,22;0;125,22;0;0;125,22
A pagar;41;Uniodonto Itajuba;Operadora;419028;2;Repasse em Custo Operacional;76209/23052;CO - 07/2025;320,76;0;320,76;0;0;320,76
A receber;61;Uniodonto Sul Fluminense;Operadora;363171;6;Outros;;"Desconto adiantamento de RPP	";260000;0;260000;0;0;260000
A receber;16;Uniodonto Piracicaba;Operadora;346004;3;Taxa de Manutenção;10164835;TAXA DE MANUTENCAO;4813,38;0;4813,38;0;0;4813,38
A receber;16;Uniodonto Piracicaba;Operadora;346004;4;Fundo de Marketing;10164842;FUNDO DE MARKETING;1925,35;0;1925,35;0;0;1925,35
A receber;17;Uniodonto Rio Grande do Norte;Operadora;345318;3;Taxa de Manutenção;10164594;TAXA DE MANUTENCAO;4171,6;0;4171,6;0;0;4171,6
A receber;11;UNIODONTO DE SC COOPERATIVA ADMINISTRADORA DE CONTRATOS;Operadora;342203;4;Fundo de Marketing;10164679;FUNDO DE MARKETING;1668,64;0;1668,64;0;0;1668,64
A receber;33;Uniodonto Joao Pessoa;Operadora;361569;3;Taxa de Manutenção;10164506;TAXA DE MANUTENCAO;4171,6;0;4171,6;0;0;4171,6
A receber;33;Uniodonto Joao Pessoa;Operadora;361569;4;Fundo de Marketing;10164604;FUNDO DE MARKETING;1668,64;0;1668,64;0;0;1668,64
A receber;37;Uniodonto Manaus;Operadora;311391;4;Fundo de Marketing;10164607;FUNDO DE MARKETING;1540,28;0;1540,28;0;0;1540,28
A receber;37;Uniodonto Manaus;Operadora;311391;3;Taxa de Manutenção;10164509;TAXA DE MANUTENCAO;3850,7;0;3850,7;0;0;3850,7
A receber;59;Uniodonto Americana;Operadora;347604;3;Taxa de Manutenção;10164523;TAXA DE MANUTENCAO;3850,7;0;3850,7;0;0;3850,7
A receber;59;Uniodonto Americana;Operadora;347604;4;Fundo de Marketing;10164621;FUNDO DE MARKETING;1540,28;0;1540,28;0;0;1540,28
A receber;15;Uniodonto Uberaba;Operadora;370568;4;Fundo de Marketing;10164592;FUNDO DE MARKETING;1540,28;0;1540,28;0;0;1540,28
A receber;15;Uniodonto Uberaba;Operadora;370568;3;Taxa de Manutenção;10164494;TAXA DE MANUTENCAO;3850,7;0;3850,7;0;0;3850,7
A receber;56;Uniodonto Sul Goiano;Operadora;358339;3;Taxa de Manutenção;10164522;TAXA DE MANUTENCAO;3369,37;0;3369,37;0;0;3369,37
A receber;56;Uniodonto Sul Goiano;Operadora;358339;4;Fundo de Marketing;10164620;FUNDO DE MARKETING;1347,75;0;1347,75;0;0;1347,75
A receber;34;Uniodonto Jundiai;Operadora;347795;4;Fundo de Marketing;10164605;FUNDO DE MARKETING;1347,75;0;1347,75;0;0;1347,75
