Tipo;CodigoSingular;NomeSingular;TipoSingular;RegistroANS;CodigoTipoRecebimento;DescricaoTipoRecebimento;NumeroDocumento;Descricao;ValorBruto;TaxaAdministrativa;Subtotal;IRRF;OutrosTributos;ValorLiquido
A receber;65;Uniodonto Rio Claro;Operadora;349011;4;Fundo de Marketing;10152867;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;65;Uniodonto Rio Claro;Operadora;349011;3;Taxa de Manutenção;10152738;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;43;Uniodonto Limeira;Operadora;369462;3;Taxa de Manutenção;10152853;TAXA DE MANUTENCAO;1203,35;0;1203,35;0;0;1203,35
A receber;43;Uniodonto Limeira;Operadora;369462;4;Fundo de Marketing;10152853;FUNDO DE MARKETING;481,34;0;481,34;0;0;481,34
A receber;160;Uniodonto Passos;Operadora;419729;4;Fundo de Marketing;10152910;FUNDO DE MARKETING;481,34;0;481,34;0;0;481,34
A receber;160;Uniodonto Passos;Operadora;419729;3;Taxa de Manutenção;10152781;TAXA DE MANUTENCAO;1203,35;0;1203,35;0;0;1203,35
A receber;84;Uniodonto Lins;Operadora;344681;3;Taxa de Manutenção;10152748;TAXA DE MANUTENCAO;1203,35;0;1203,35;0;0;1203,35
A receber;84;Uniodonto Lins;Operadora;344681;4;Fundo de Marketing;10152877;FUNDO DE MARKETING;481,34;0;481,34;0;0;481,34
A receber;93;UNIODONTO METROPOLITANA COOPERATIVA ODONTOLOGICA;Operadora;382337;4;Fundo de Marketing;10152882;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;26;Uniodonto Sao Jose do Rio Preto;Operadora;303259;4;Fundo de Marketing;10152840;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;100;Uniodonto Votuporanga;Operadora;350630;4;Fundo de Marketing;10152885;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;129;Uniodonto Pindamonhangaba;Operadora;331104;4;Fundo de Marketing;10152898;FUNDO DE MARKETING;722,01;0;722,01;0;0;722,01
A receber;26;Uniodonto Sao Jose do Rio Preto;Operadora;303259;3;Taxa de Manutenção;10152712;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;3;Uniodonto Vale Taquari Rio Pardo;Operadora;353752;3;Taxa de Manutenção;10152795;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;100;Uniodonto Votuporanga;Operadora;350630;3;Taxa de Manutenção;10152756;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;129;Uniodonto Pindamonhangaba;Operadora;331104;3;Taxa de Manutenção;10152769;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;4;Uniodonto Campo Grande;Operadora;347183;3;Taxa de Manutenção;10152699;TAXA DE MANUTENCAO;1805,02;0;1805,02;0;0;1805,02
A receber;42;UNIODONTO SUDESTE MINEIRO COOPERATIVA DE SAUDE ODONTOLOGICA LTDA;Operadora;327441;3;Taxa de Manutenção;10152724;TAXA DE MANUTENCAO;2005,58;0;2005,58;0;0;2005,58
A receber;81;UNIODONTO DE ILHEUS;Operadora;383929;3;Taxa de Manutenção;10152746;TAXA DE MANUTENCAO;2005,58;0;2005,58;0;0;2005,58
A receber;81;UNIODONTO DE ILHEUS;Operadora;383929;4;Fundo de Marketing;10152875;FUNDO DE MARKETING;802,23;0;802,23;0;0;802,23
A receber;85;Uniodonto Sertaozinho;Operadora;373109;4;Fundo de Marketing;10152878;FUNDO DE MARKETING;802,23;0;802,23;0;0;802,23
A receber;85;Uniodonto Sertaozinho;Operadora;373109;3;Taxa de Manutenção;10152749;TAXA DE MANUTENCAO;2005,58;0;2005,58;0;0;2005,58
