Tipo,TipoSingular,CodigoTipoRecebimento,Debito,Credito,Historico,Observacoes
"A pagar","Operadora",1,31731,90918,2005,"Pré-pagamento — regra padrão"
"A pagar","Operadora",2,40507,90919,2005,"Custo Operacional — atenção a marcação de 'mensalidade' (inconsistência sinalizada)"
"A pagar","Operadora",3,"52631 / 52632","21898 (UNIODONTO DO BRASIL) / 22036 (outros)","361 (UNIODONTO DO BRASIL) / 368 (outros)","Taxa de Manutenção — crédito/histórico dependem do NomeSingular"
"A pagar","Operadora",4,52532,"21898 (UNIODONTO DO BRASIL) / 22036 (outros)",365,"Fundo de Marketing — crédito depende do NomeSingular"
"A pagar","Operadora",5,51818,51818,179,"Juros — regras especiais para LGPD/ATUÁRIO podem alterar mapeamento do crédito (ver observações em regras)"
"A pagar","Operadora",6,51202,90919,2005,"Outros"
"A pagar","Prestadora",1,40140,92003,2005,"Pré-pagamento — Prestadora usa 40140/92003"
"A pagar","Prestadora",2,40140,92003,2005,"Custo Operacional — Prestadora usa 40140/92003; ver marcação de mensalidade"
"A pagar","Prestadora",3,"52631 / 52632","21898 (UNIODONTO DO BRASIL) / 22036 (outros)","361 (UNIODONTO DO BRASIL) / 368 (outros)","Taxa de Manutenção — crédito/histórico dependem do NomeSingular"
"A pagar","Prestadora",4,52532,"21898 (UNIODONTO DO BRASIL) / 22036 (outros)",365,"Fundo de Marketing — crédito depende do NomeSingular"
"A pagar","Prestadora",5,51818,51818,179,"Juros — regra padrão; LGPD/ATUÁRIO alteram contas (ver regras especiais)"
"A pagar","Prestadora",6,51202,90919,2005,"Outros"
"A receber","Operadora",1,19958,30203,1021,"Repasse Pré-pagamento — Operadora"
"A receber","Operadora",2,85433,40413,1021,"Repasse Custo Operacional — Operadora"
"A receber","Operadora",3,84679,30069,33,"Taxa / Outros (3) — Débito 84679, Crédito 30069, Histórico 33"
"A receber","Operadora",4,84679,30071,228,"Fundo Marketing (4) — Débito 84679, Crédito 30071, Histórico 228"
"A receber","Operadora",5,84679,31426,30,"Juros (5) — Débito 84679, Crédito 31426, Histórico 30; LGPD/ATUÁRIO podem mapear crédito para 30173/30088"
"A receber","Operadora",6,19253,30127,1021,"Outros (6) — Débito 19253, Crédito 30127"
"A receber","Prestadora",1,19253,30203,1021,"Repasse Pré-pagamento — Prestadora"
"A receber","Prestadora",2,19253,40413,1021,"Repasse Custo Operacional — Prestadora"
"A receber","Prestadora",3,84679,30069,33,"Taxa / Outros (3) — Débito 84679, Crédito 30069, Histórico 33"
"A receber","Prestadora",4,84679,30071,228,"Fundo Marketing (4) — Débito 84679, Crédito 30071, Histórico 228"
"A receber","Prestadora",5,84679,31426,30,"Juros (5) — Débito 84679, Crédito 31426, Histórico 30; LGPD/ATUÁRIO podem mapear crédito para 30173/30088"
"A receber","Prestadora",6,19253,30127,1021,"Outros (6) — Débito 19253, Crédito 30127"
